x	y
	
0	0
	
-495.0883637	-106.4905497
	
-495.387572	-111.4815891
	
-495.6867803	-116.4726285
	
-495.5671654	-121.4628349
	
-495.2481053	-126.4526446
	
-494.9290445	-131.4424542
	
-494.4835198	-136.4202797
	
-493.8596171	-141.3812015
	
-493.2357135	-146.3421232
	
-492.4862121	-151.2780497
	
-491.1632487	-156.0998508
	
-489.8402835	-160.9216516
	
-488.5173167	-165.7434522
	
-486.5879108	-170.3399114
	
-484.4412345	-174.8556373
	
-482.2945559	-179.3713624
	
-479.7519822	-183.6673382
	
-477.0551084	-187.8776669
	
-474.358232	-192.0879947
	
-471.6497321	-196.2900829
	
-468.5695178	-200.2286447
	
-465.4893008	-204.1672054
	
-462.4090809	-208.1057648
	
-459.2742767	-211.9977131
	
-455.8666744	-215.6567066
	
-452.4590692	-219.3156986
	
-449.0514611	-222.9746892
	
-445.6438502	-226.6336783
	
-441.7798704	-229.7980179
	
-437.8588522	-232.9005356
	
-433.925822	-235.9867567
	
-429.8016762	-238.8136652
	
-425.6775278	-241.6405716
	
-421.5533768	-244.4674759
	
-417.1735302	-246.8734887
	
-412.7641217	-249.2308417
	
-408.3547109	-251.5881925
	
-403.8308612	-253.6945926
	
-399.1597876	-255.478147
	
-394.4887122	-257.2616988
	
-389.8089576	-259.0213865
	
-385.0834146	-260.6551676
	
-380.3578701	-262.2889462
	
-375.4227196	-263.0406613
	
-370.467369	-263.7073698
	
-365.5120179	-264.3740756
	
-360.5436542	-264.9249036
	
-355.5638526	-265.3738762
	
-350.5840508	-265.822846
	
-345.5898235	-265.685932
	
-340.5939607	-265.4825734
	
-335.6112365	-265.1233942
	
-330.6518597	-264.4873225
	
-325.6924839	-263.851248
	
-320.7331089	-263.2151708
	
-315.7941193	-262.4414622
	
-310.8633043	-261.6125656
	
-305.9324905	-260.7836663
	
-301.0016777	-259.9547644
	
-296.0765819	-259.09312
	
-291.1567031	-258.2015967
	
-286.2368255	-257.3100707
	
-281.3169491	-256.4185421
	
-276.3970738	-255.5270108
	
-271.4771997	-254.6354769
	
-266.5573268	-253.7439403
	
-261.6374551	-252.8524011
	
-256.720434	-251.9455577
	
-251.8095794	-251.0056038
	
-246.898726	-250.0656472
	
-241.9878739	-249.1256879
	
-237.0811413	-248.1644765
	
-232.1748538	-247.2009726
	
-227.4602402	-245.5516278
	
-222.7653152	-243.8318385
	
-218.4740072	-241.291831
	
-214.2469595	-238.6212388
	
